Id,Age,Trabajo,Estado Civil,Educación,Saldo Bancario,Prestamo vivienda,Prestamo auto,Comunicación,Fecha Ultimo contacto,N de contactos,Dias transcurridos,Intentos previos,Resultado,Llamada comenzada2,Llamada terminada2,Seguro contratado,Orden_Comunicación
4042,52,"Trabajador obrero","Casado","NA",0,"SI","NO","celular","2021-07-09 00:00:00,000",1,-1,0,"NA","1899-12-30 16:09:16,000","1899-12-30 16:34:02,000","NA",1
727,56,"Independiente","Casado","NA",0,"NO","NO","celular","2021-08-19 00:00:00,000",1,-1,0,"NA","1899-12-30 13:37:09,000","1899-12-30 13:39:19,000","NO",1
51,54,"Prestador de Servicios","Divorciado","NA",0,"SI","NO","celular","2021-04-16 00:00:00,000",1,-1,0,"NA","1899-12-30 16:18:17,000","1899-12-30 16:22:40,000","NO",1
4145,53,"Retirado","Casado","Primaria",0,"NO","NO","celular","2021-07-30 00:00:00,000",1,-1,0,"NA","1899-12-30 16:02:39,000","1899-12-30 16:04:42,000","NA",1
4845,40,"Trabajador obrero","Casado","Primaria",0,"NO","NO","celular","2021-07-24 00:00:00,000",1,-1,0,"NA","1899-12-30 17:50:53,000","1899-12-30 17:56:06,000","NA",1
4858,38,"Trabajador obrero","Soltero","Primaria",0,"SI","NO","celular","2021-04-17 00:00:00,000",1,-1,0,"NA","1899-12-30 12:09:35,000","1899-12-30 12:22:30,000","NA",1
3664,56,"Trabajador obrero","Casado","Primaria",0,"SI","NO","celular","2021-07-16 00:00:00,000",1,-1,0,"NA","1899-12-30 17:51:40,000","1899-12-30 18:12:02,000","SI",1
389,30,"Prestador de Servicios","Soltero","Primaria",0,"SI","SI","celular","2021-11-19 00:00:00,000",1,-1,0,"NA","1899-12-30 14:23:42,000","1899-12-30 14:35:08,000","SI",1
444,53,"Trabajador obrero","Casado","Primaria",0,"NO","NO","celular","2021-08-21 00:00:00,000",1,-1,0,"NA","1899-12-30 17:18:41,000","1899-12-30 17:21:56,000","NO",1
1631,56,"Trabajador obrero","Divorciado","Primaria",0,"SI","NO","celular","2021-05-05 00:00:00,000",1,-1,0,"NA","1899-12-30 17:49:47,000","1899-12-30 17:55:00,000","NO",1
2146,44,"Trabajador obrero","Casado","Primaria",0,"SI","NO","celular","2021-05-06 00:00:00,000",1,-1,0,"NA","1899-12-30 13:09:20,000","1899-12-30 13:09:37,000","NO",1
3208,43,"Trabajador obrero","Soltero","Primaria",0,"NO","NO","celular","2021-07-09 00:00:00,000",1,-1,0,"NA","1899-12-30 09:23:23,000","1899-12-30 09:44:05,000","SI",1
11,27,"Prestador de Servicios","Soltero","Secuandaria",0,"NO","NO","celular","2021-06-01 00:00:00,000",1,-1,0,"NA","1899-12-30 13:04:28,000","1899-12-30 13:07:29,000","NO",1
1898,42,"Administrador","Casado","Secuandaria",0,"SI","NO","celular","2021-07-08 00:00:00,000",1,-1,0,"NA","1899-12-30 09:40:54,000","1899-12-30 09:57:45,000","NO",1
1943,47,"Trabajador obrero","Casado","Secuandaria",0,"SI","SI","celular","2021-11-19 00:00:00,000",1,-1,0,"NA","1899-12-30 16:23:09,000","1899-12-30 16:26:25,000","NO",1
2261,45,"Administrador","Divorciado","Secuandaria",0,"NO","NO","celular","2021-10-29 00:00:00,000",1,-1,0,"NA","1899-12-30 14:08:06,000","1899-12-30 14:12:30,000","SI",1
2258,32,"Tecnico","Casado","Secuandaria",0,"SI","SI","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 13:50:07,000","1899-12-30 13:57:15,000","NO",1
2023,33,"Trabajador obrero","Casado","Secuandaria",0,"SI","NO","celular","2021-07-24 00:00:00,000",1,-1,0,"NA","1899-12-30 14:06:10,000","1899-12-30 14:09:38,000","NO",1
1951,54,"Prestador de Servicios","Soltero","Secuandaria",0,"NO","NO","celular","2021-09-23 00:00:00,000",1,-1,0,"NA","1899-12-30 15:42:01,000","1899-12-30 15:45:30,000","SI",1
2204,44,"Trabajador obrero","Soltero","Secuandaria",0,"NO","NO","celular","2021-04-20 00:00:00,000",1,-1,0,"NA","1899-12-30 11:46:07,000","1899-12-30 11:48:20,000","SI",1
600,37,"Administrador","Casado","Secuandaria",0,"SI","NO","celular","2021-07-22 00:00:00,000",1,-1,0,"NA","1899-12-30 16:39:09,000","1899-12-30 16:42:14,000","NO",1
